names,scores,logfoldchanges,pvals,pvals_adj
Dmel_CG1951,4.477804,1.0641515,7.541478614148336e-06,5.169669820997563e-05
Dmel_CG10685,4.4737625,1.1187737,7.6855096815272e-06,5.262912075296974e-05
Dmel_CG5123,4.444323,1.0176586,8.816896082683927e-06,6.0063676216977444e-05
Dmel_CG5379,4.4330726,1.3852255,9.289955622779368e-06,6.318804701808678e-05
Dmel_CG7540,4.339647,1.1774307,1.4271194982844221e-05,9.529358397843288e-05
Dmel_CG1908,4.32995,1.0856223,1.4914320139963052e-05,9.93859436913055e-05
Dmel_CG8363,4.3240156,1.2400426,1.5321447273581468e-05,0.00010204720660016933
Dmel_CG14971,4.320002,1.5111467,1.5602759704012698e-05,0.0001038156279850283
Dmel_CG11210,4.231684,1.1848569,2.319476868587526e-05,0.00015141701703978478
Dmel_CG31249,4.210951,1.2826791,2.5429832689402192e-05,0.00016543239176803674
Dmel_CG6356,4.1554074,1.1827152,3.2470859802165106e-05,0.00020875712752458497
Dmel_CR43264,4.1264424,2.4233942,3.68417918842322e-05,0.00023559026138719969
Dmel_CG42666,4.1222615,1.0884333,3.7517127399139707e-05,0.00023921036931203048
Dmel_CG14133,4.02153,1.12568,5.782130743481282e-05,0.00036096427600991693
Dmel_CG6871,4.011878,1.0306301,6.02375777520605e-05,0.0003758698999239445
Dmel_CG17262,3.8275363,1.1276525,0.00012943223403993879,0.0007823684395210835
Dmel_CG1244,3.761449,1.143644,0.00016893178000558954,0.0010081437425310863
Dmel_CG8889,3.759676,1.1033965,0.00017013361428972048,0.0010143946576139822
Dmel_CG7562,3.7322655,2.4002252,0.00018976534012752973,0.001125826787636961
Dmel_CG18259,3.6532516,1.0131521,0.0002589402166586524,0.001513671435547754
Dmel_CR45358,3.6462345,1.3021111,0.0002661111931330701,0.0015521381220424653
Dmel_CG2893,3.6084468,1.5471131,0.0003080355424670027,0.001780860124750938
Dmel_CG17252,3.5619323,1.023143,0.0003681354002468984,0.0021024195109276365
Dmel_CG18156,3.4445705,1.1426694,0.0005719673417978312,0.003190247384790025
Dmel_CG3740,3.4024866,1.6191931,0.0006677562060582913,0.003697844207253269
Dmel_CG2979,3.342638,3.6558764,0.0008298606303604614,0.004536272272698346
Dmel_CG2540,3.3420858,1.9217883,0.0008315133623313333,0.004543416671266549
Dmel_CR45845,3.2601018,3.5942888,0.0011137225912021139,0.005971207087305989
Dmel_CG8432,3.0922222,1.209725,0.001986641379108825,0.010286231033439348
Dmel_CG13759,3.0893433,1.0895997,0.002005994734124438,0.0103700931554403
Dmel_CR43014,2.9303205,2.0725112,0.0033861249085002333,0.01695126378003869
Dmel_CG14672,2.8964593,1.0497899,0.0037739943992016497,0.018700626093479968
Dmel_CG31284,2.8186052,1.1611252,0.0048232798856343104,0.023501194281468473
Dmel_CG7121,2.80618,1.2543758,0.005013269075650175,0.02436367193902328
Dmel_CG13586,2.8060126,1.0644532,0.005015871233356438,0.024367306424228078
Dmel_CG13192,2.7800932,1.4746147,0.005434329249687846,0.026158432479907685
Dmel_CG16740,2.7744145,1.1531898,0.005530117683836776,0.026570850633747374
Dmel_CG17068,2.7717555,1.2765778,0.005575491679926877,0.02671073137656547
